Date,SPTR Index,AAPL,ABBV,ADM,AMT,AMZN,APO,AVGO,BAC,BAH,BRK/B,CBT,CMCSA,COLM,COP,CRM,CRSP,CVX,DD,DEO,DHI,DIS,DXCM,ELF,ELV,EW,FIDU,FDX,FTNT,GEV,GLD,GLW,GOOG,HCA,HEI/A,HES,HII,INTC,JPM,KBH,KO,LKQ,LLY,LMT,LULU,LYB,MSFT,NCLH,NEE,NOC,NVDA,OKE,PENN,PSX,PTON,PYPL,RDDT,RUM,SEDG,SHEL,SHOP,SMIN,SNVXX,XYZ,SQM,STZ,SWK,TLRY,TMUS,TSLA,TTWO,TWLO,ULTA,UNH,V,VALE,VFH,VOO,VRTX,WMT,WTRG,ZTS
2025-01-01,12911.822,250.42,177.7,50.52,183.41,219.39,165.16,231.84,43.95,128.7,453.28,91.31,35.159,83.93,99.17,334.33,39.36,144.84,31.892,127.13,139.82,111.35,77.77,125.55,368.9,74.03,70.31,281.33,94.48,328.93,242.13,47.52,190.44,300.15,186.08,133.01,188.97,20.05,239.71,65.72,62.26,36.75,772.0,485.94,382.41,74.27,421.5,25.73,71.69,469.29,134.29,100.4,19.82,113.93,8.7,85.35,163.44,13.01,13.6,62.65,106.33,76.45,1,84.99,36.36,221.0,80.29,13.3,220.73,403.84,184.08,108.08,434.93,505.86,316.04,8.87,118.07,538.81,402.7,90.35,36.32,162.93
2025-01-02,12883.578,243.85,179.44,50.22,181.03,220.22,165.86,231.98,44.29,128.12,451.1,88.88,35.056,82.67,100.08,330.66,41.43,146.71,31.549,126.12,137.64,110.82,78.5,122.99,365.83,72.59,69.98,274.28,94.75,338.94,245.42,46.71,190.63,297.75,185.91,135.42,187.61,20.22,240.0,64.64,61.84,36.24,778.07,482.25,372.31,72.78,418.58,25.92,71.61,468.01,138.31,101.77,19.24,114.41,8.83,86.18,165.91,12.4,14.8,63.1,107.53,76.95,1,86.75,36.05,222.57,79.88,14.6,219.53,379.28,183.07,109.07,429.16,504.51,314.4,8.88,117.83,537.46,405.76,90.0,36.04,162.61
2025-01-03,13046.885,243.36,181.22,50.05,182.56,224.19,169.06,232.55,44.81,131.93,453.56,88.5,35.29,82.67,101.09,332.9,41.02,147.85,31.264,121.38,139.89,111.16,81.07,125.39,371.56,73.91,71.01,274.41,97.47,354.03,243.49,47.5,193.13,296.7,186.25,136.39,188.08,20.56,243.28,65.46,61.75,36.59,781.98,481.82,378.18,72.77,423.35,25.42,71.99,467.82,144.47,102.9,18.76,116.09,9.07,87.6,177.74,13.43,15.28,64.52,109.25,77.16,1,92.16,36.7,221.92,80.76,14.5,219.11,410.44,188.75,113.09,431.35,513.0,314.91,8.63,118.9,544.4,407.11,90.78,36.16,163.31
2025-01-06,13120.136,245.0,180.1,49.63,180.26,227.61,169.1,236.41,45.4,130.74,451.41,88.73,35.122,83.1,99.99,330.53,42.43,147.26,31.477,125.32,139.36,111.05,79.88,125.73,379.65,73.54,70.93,273.97,97.94,371.32,243.19,48.34,197.96,296.92,179.68,135.92,186.7,19.87,240.85,65.07,60.81,36.76,765.1,466.0,395.31,73.86,427.85,25.64,71.24,455.14,149.43,101.62,19.67,115.17,8.91,89.53,179.49,13.77,16.29,64.75,114.24,75.36,1,91.94,38.55,222.93,82.65,14.0,212.38,411.05,188.98,113.01,431.3,513.67,313.04,8.62,118.58,547.57,402.49,91.43,35.44,165.9
2025-01-07,12974.588,242.21,179.53,49.43,177.17,222.11,162.45,228.64,46.08,129.24,452.92,88.72,34.831,82.4,101.67,324.93,41.92,149.59,31.402,124.88,137.84,111.39,79.35,127.74,380.75,73.64,70.71,275.0,95.93,368.52,244.56,47.85,196.71,308.21,177.08,138.61,189.05,20.01,243.17,64.47,60.84,36.49,773.29,463.96,393.46,73.9,422.37,25.51,70.43,452.39,140.14,101.61,19.0,115.19,8.74,87.97,172.32,13.28,17.59,65.93,106.78,76.19,1,87.68,39.27,218.51,81.65,14.5,212.335,394.36,181.75,109.82,428.27,514.25,311.67,8.56,118.27,541.41,408.32,90.81,35.27,163.49
2025-01-08,12995.133,242.7,178.5,49.84,179.19,222.13,161.98,229.31,46.21,130.08,451.84,87.7,34.822,82.62,101.62,326.9,41.29,150.3,31.139,125.44,139.9,109.76,80.09,127.6,383.24,74.15,70.96,274.9,96.04,366.48,245.86,47.73,195.39,311.25,178.87,139.81,189.66,19.88,243.13,65.34,61.71,36.34,787.22,468.85,392.92,73.03,424.56,25.92,70.66,462.21,140.11,102.85,18.29,116.25,8.63,87.94,172.01,11.65,14.99,64.72,107.64,75.06,1,86.75,39.04,219.28,81.56,13.7,215.52,394.94,183.74,111.06,415.14,524.52,312.6,8.5,118.46,542.14,412.11,91.8,35.0,165.02
2025-01-09,12995.133,242.7,178.5,49.84,179.19,222.13,161.98,229.31,46.21,130.08,451.84,87.7,34.822,82.62,101.62,326.9,41.29,150.3,31.139,125.44,139.9,109.76,80.09,127.6,383.24,74.15,70.96,274.9,96.04,366.48,245.86,47.73,195.39,311.25,178.87,139.81,189.66,19.88,243.13,65.34,61.71,36.34,787.22,468.85,392.92,73.03,424.56,25.92,70.66,462.21,140.11,102.85,18.29,116.25,8.63,87.94,172.01,11.65,14.99,64.72,107.64,75.06,1,86.75,39.04,219.28,81.56,13.7,215.52,394.94,183.74,111.06,415.14,524.52,312.6,8.5,118.46,542.14,412.11,91.8,35.0,165.02
2025-01-10,12797.392,236.85,175.17,51.09,173.46,218.94,155.39,224.31,45.11,132.47,442.66,86.71,34.063,82.57,101.92,317.85,39.69,153.14,30.407,118.23,136.52,108.65,77.76,124.89,381.15,73.42,70.08,270.73,94.56,367.1,248.21,47.12,193.17,302.82,177.92,142.41,190.02,19.15,239.87,63.19,61.07,36.27,799.9,468.05,395.47,72.48,418.95,25.79,67.38,458.69,135.91,101.75,19.19,113.93,8.86,83.36,167.08,10.96,14.71,64.94,103.71,72.61,1,82.54,38.37,181.81,80.09,12.3,211.3,394.74,178.61,108.08,418.23,520.69,307.71,8.5,115.47,533.89,409.56,93.0,34.08,163.32
2025-01-13,12817.561,234.4,176.74,52.12,176.94,218.46,154.8,225.29,45.06,135.12,443.91,89.33,34.148,83.2,104.23,319.07,38.85,155.35,31.13,116.67,138.4,108.08,79.84,132.12,396.49,71.09,70.835,274.59,93.83,366.81,245.74,46.58,192.29,308.18,178.79,144.83,195.14,19.2,244.21,64.08,61.65,36.49,797.48,483.16,398.86,75.15,417.19,25.63,66.96,472.38,133.23,103.98,19.77,115.98,8.96,83.99,164.65,10.92,14.46,64.96,101.76,70.97,1,82.01,38.9,185.91,80.89,11.8,213.46,403.31,178.76,107.96,403.94,541.14,306.92,8.51,116.19,534.58,413.37,91.53,33.74,166.32
2025-01-14,12832.285,233.28,175.55,51.19,178.8,217.76,159.33,224.7,45.78,136.14,450.03,89.37,34.082,83.43,104.88,323.54,38.36,156.9,31.486,114.5,143.16,108.12,79.17,131.48,393.16,71.04,71.74,277.62,92.49,382.26,247.03,47.43,191.05,305.79,181.48,146.68,197.43,19.2,247.47,67.17,62.04,37.29,744.91,484.46,388.74,75.31,415.67,26.0,67.98,475.5,131.76,106.04,20.65,117.27,8.73,87.18,164.82,10.21,14.25,65.91,101.61,71.69,1,82.42,40.06,182.2,82.36,11.8,214.18,396.36,180.03,108.69,404.06,543.74,309.09,8.62,117.95,535.26,411.66,90.79,34.11,164.41
